,Harsh Acceleration,Harsh Breaking,Battery level,vehicle distance,Torque,TCO Vehicle Speed,Fuel Rate Avg,Total Fuel consumption,Fuel Primary Tank,Battery Voltage,Transmission current gear,Catalyst tank level,coolant temperature,Engine on,Engine Oil Pressure,Oil Temperature,Engine speed,break pedal,Malfunction lamp status,Amber warning lamp status,Red stop lamp status,DTC,time
3383,-,-,100 %,18804.67 Km,10 %,0 Km/h,1.48 Km/L,12732 L,0 %,28.2 VDC,000,0 %,0 °C,1505.51 H,0 BAR,0 °C,542 Rpm,On,Not,Not,Not,,2023-11-01 21:58:20
3384,-,-,100 %,18804.76 Km,13 %,0 Km/h,1.48 Km/L,12732 L,0 %,28.3 VDC,000,0 %,0 °C,1505.51 H,0 BAR,0 °C,549 Rpm,Off,Not,Not,Not,,2023-11-01 21:58:40
3385,-,-,100 %,18804.76 Km,13 %,0 Km/h,1.48 Km/L,12732 L,0 %,0 VDC,000,0 %,0 °C,1505.51 H,0 BAR,0 °C,550 Rpm,Off,Not,Not,Not,,2023-11-01 21:59:00
3386,-,-,100 %,18804.76 Km,13 %,0 Km/h,1.48 Km/L,12732 L,0 %,28.3 VDC,000,0 %,0 °C,1505.51 H,0 BAR,0 °C,551 Rpm,Off,Not,Not,Not,,2023-11-01 21:59:20
3387,-,-,100 %,18804.76 Km,13 %,0 Km/h,1.48 Km/L,12732 L,0 %,0 VDC,000,0 %,0 °C,1505.52 H,0 BAR,0 °C,549 Rpm,Off,Not,Not,Not,,2023-11-01 21:59:40
3388,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:00:00
3389,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:00:20
3390,-,-,100 %,18804.76 Km,15 %,0.5 Km/h,1.48 Km/L,12732 L,82.4 %,0 VDC,0-1,0 %,0 °C,1505.52 H,0 BAR,0 °C,552 Rpm,On,Not,Not,Not,,2023-11-01 22:00:40
3391,-,-,100 %,18804.76 Km,38 %,7 Km/h,1.48 Km/L,12732 L,80.8 %,28.2 VDC,006,0 %,0 °C,1505.52 H,0 BAR,0 °C,1101 Rpm,Off,Not,Not,Not,,2023-11-01 22:01:00
3392,-,-,100 %,18804.79 Km,16 %,22.7 Km/h,1.48 Km/L,12732 L,0 %,0 VDC,013,0 %,0 °C,1505.52 H,0 BAR,0 °C,945 Rpm,Off,Not,Not,Not,,2023-11-01 22:01:20
3393,-,-,100 %,-,0 %,-,-,-,81.6 %,0 VDC,000,93 %,-,-,-,-,-,Off,,,,,2023-11-01 22:01:41
3394,-,-,100 %,18804.79 Km,0 %,57.6 Km/h,1.48 Km/L,12732 L,0 %,0 VDC,016,0 %,0 °C,1505.52 H,0 BAR,0 °C,1324 Rpm,On,Not,Not,Not,,2023-11-01 22:02:01
3395,-,-,100 %,18804.79 Km,49 %,49.6 Km/h,1.48 Km/L,12732 L,0 %,0 VDC,016,0 %,0 °C,1505.53 H,0 BAR,0 °C,1159 Rpm,Off,Not,Not,Not,,2023-11-01 22:02:21
3396,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:02:21
3397,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:02:41
3398,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:03:00
3399,-,-,100 %,18806.06 Km,11 %,0 Km/h,1.48 Km/L,12732.5 L,83.2 %,0 VDC,005,49.6 %,95 °C,1505.53 H,2.16 BAR,96.5 °C,549 Rpm,Off,Not,Not,Not,,2023-11-01 22:03:20
3400,-,-,100 %,18806.06 Km,13 %,0 Km/h,1.48 Km/L,12732.5 L,0 %,0 VDC,005,0 %,0 °C,1505.53 H,0 BAR,0 °C,551 Rpm,Off,Not,Not,Not,,2023-11-01 22:03:40
3401,-,-,100 %,18806.06 Km,11 %,0 Km/h,1.48 Km/L,12732.5 L,0 %,0 VDC,005,0 %,0 °C,1505.53 H,0 BAR,0 °C,550 Rpm,Off,Not,Not,Not,,2023-11-01 22:04:00
3402,-,-,100 %,18806.06 Km,11 %,0 Km/h,1.48 Km/L,12732.5 L,0 %,0 VDC,005,0 %,0 °C,1505.54 H,0 BAR,0 °C,550 Rpm,Off,Not,Not,Not,,2023-11-01 22:04:20
3403,-,-,100 %,18806.06 Km,13 %,0 Km/h,1.48 Km/L,12732.5 L,0 %,28.3 VDC,005,0 %,0 °C,1505.54 H,0 BAR,0 °C,550 Rpm,Off,Not,Not,Not,,2023-11-01 22:04:40
3404,-,-,100 %,18806.06 Km,13 %,0 Km/h,1.48 Km/L,12732.5 L,0 %,0 VDC,005,0 %,0 °C,1505.54 H,0 BAR,0 °C,551 Rpm,Off,Not,Not,Not,,2023-11-01 22:05:01
3405,-,-,100 %,-,36 %,-,-,-,79.6 %,0 VDC,000,93 %,-,-,-,-,-,Off,,,,,2023-11-01 22:05:21
3406,-,-,100 %,18806.11 Km,12 %,0.5 Km/h,1.48 Km/L,12732.5 L,79.2 %,0 VDC,0-2,48.4 %,93 °C,1505.54 H,2.56 BAR,96.3 °C,561 Rpm,On,Not,Not,Not,9FFFB,2023-11-01 22:05:41
3407,-,-,100 %,18806.11 Km,11 %,0 Km/h,1.48 Km/L,12732.5 L,79.6 %,0 VDC,000,46.8 %,94 °C,1505.55 H,2.2 BAR,95.9 °C,550 Rpm,Off,Not,Not,Not,9FFFB,2023-11-01 22:06:01
3408,-,-,100 %,18806.11 Km,13 %,0 Km/h,1.48 Km/L,12732.5 L,79.6 %,0 VDC,000,45.6 %,94 °C,1505.55 H,2.2 BAR,95.6 °C,550 Rpm,Off,Not,Not,Not,,2023-11-01 22:06:21
3409,-,-,100 %,18806.11 Km,13 %,0 Km/h,1.48 Km/L,12732.5 L,79.6 %,28.3 VDC,000,44.8 %,93 °C,1505.56 H,2.2 BAR,95.3 °C,554 Rpm,Off,Not,Not,Not,,2023-11-01 22:06:41
3410,-,-,100 %,18806.11 Km,13 %,0 Km/h,1.48 Km/L,12732.5 L,79.6 %,28.3 VDC,006,44 %,93 °C,1505.57 H,2.2 BAR,95 °C,550 Rpm,Off,Not,Not,Not,,2023-11-01 22:07:01
3411,-,-,100 %,18806.13 Km,64 %,10.1 Km/h,1.48 Km/L,12732.5 L,81.2 %,0 VDC,005,44.4 %,92 °C,1505.57 H,5.44 BAR,95 °C,1918 Rpm,Off,Not,Not,Not,,2023-11-01 22:07:21
3412,-,-,100 %,18806.2 Km,0 %,11.9 Km/h,1.48 Km/L,12732.5 L,80.8 %,0 VDC,011,44.4 %,92 °C,1505.58 H,0 BAR,95.5 °C,732 Rpm,On,Not,Not,Not,,2023-11-01 22:07:41
3413,-,-,100 %,18806.32 Km,100 %,25.1 Km/h,1.48 Km/L,12732.5 L,80.8 %,0 VDC,010,44.8 %,92 °C,1505.58 H,5.4 BAR,95.3 °C,1867 Rpm,Off,Not,Not,Not,,2023-11-01 22:08:01
3414,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:08:01
3415,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:08:22
3416,-,-,100 %,18806.81 Km,100 %,58.9 Km/h,1.48 Km/L,12733 L,80.8 %,0 VDC,015,47.2 %,93 °C,1505.59 H,5.28 BAR,95.7 °C,1667 Rpm,Off,Not,Not,Not,,2023-11-01 22:08:41
3417,-,-,100 %,18807.01 Km,100 %,36.3 Km/h,1.48 Km/L,12733.5 L,81.2 %,0 VDC,013,47.6 %,96 °C,1505.6 H,4.8 BAR,97 °C,1530 Rpm,Off,Not,Not,Not,,2023-11-01 22:09:01
3418,-,-,100 %,18807.28 Km,100 %,28.3 Km/h,1.48 Km/L,12733.5 L,82 %,0 VDC,011,48.4 %,99 °C,1505.6 H,5.08 BAR,99.3 °C,1749 Rpm,Off,Not,Not,Not,,2023-11-01 22:09:21
3419,-,-,100 %,18807.4 Km,7 %,7.7 Km/h,1.48 Km/L,12734 L,81.2 %,28.1 VDC,010,48.8 %,97 °C,1505.61 H,3.04 BAR,99.3 °C,593 Rpm,On,Not,Not,Not,,2023-11-01 22:09:41
3420,-,-,100 %,18807.42 Km,13 %,0 Km/h,1.48 Km/L,12734 L,81.6 %,28.1 VDC,000,48.4 %,91 °C,1505.62 H,2.36 BAR,97.1 °C,545 Rpm,On,Not,Not,Not,,2023-11-01 22:10:01
3421,-,-,100 %,18807.42 Km,22 %,0 Km/h,1.48 Km/L,12734 L,82 %,0 VDC,000,48.4 %,91 °C,1505.62 H,4.24 BAR,96.4 °C,1172 Rpm,Off,Not,Not,Not,,2023-11-01 22:10:21
3422,-,-,100 %,18807.42 Km,28 %,6.6 Km/h,1.48 Km/L,12734 L,82.4 %,28.3 VDC,004,48.4 %,92 °C,1505.62 H,3.16 BAR,96.4 °C,1480 Rpm,Off,Not,Not,Not,,2023-11-01 22:10:41
3423,-,-,100 %,18807.45 Km,20 %,22.9 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,012,0 %,0 °C,1505.62 H,0 BAR,0 °C,1113 Rpm,Off,Not,Not,Not,,2023-11-01 22:11:01
3424,-,-,100 %,18807.45 Km,0 %,48.7 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,016,0 %,0 °C,1505.63 H,0 BAR,0 °C,1134 Rpm,Off,Not,Not,Not,,2023-11-01 22:11:21
3425,-,-,100 %,18807.95 Km,0 %,56.5 Km/h,1.48 Km/L,12734 L,80.8 %,0 VDC,016,47.6 %,92 °C,1505.63 H,4.88 BAR,96.4 °C,1305 Rpm,On,Not,Not,Not,,2023-11-01 22:11:41
3426,-,-,100 %,18807.96 Km,93 %,38 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,014,0 %,0 °C,1505.63 H,0 BAR,0 °C,1314 Rpm,Off,Not,Not,Not,,2023-11-01 22:12:02
3427,-,-,100 %,18807.96 Km,0 %,20.5 Km/h,1.48 Km/L,12734 L,0 %,28.2 VDC,014,0 %,0 °C,1505.63 H,0 BAR,0 °C,702 Rpm,On,Not,Not,Not,,2023-11-01 22:12:22
3428,-,-,100 %,18808.35 Km,14 %,2.1 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,0-2,0 %,0 °C,1505.63 H,0 BAR,0 °C,648 Rpm,On,Not,Not,Not,,2023-11-01 22:12:42
3429,-,-,100 %,18808.35 Km,12 %,0 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,004,0 %,0 °C,1505.63 H,0 BAR,0 °C,551 Rpm,Off,Not,Not,Not,,2023-11-01 22:13:02
3430,-,-,100 %,18808.35 Km,11 %,0 Km/h,1.48 Km/L,12734 L,82.4 %,0 VDC,004,0 %,0 °C,1505.63 H,0 BAR,0 °C,550 Rpm,Off,Not,Not,Not,,2023-11-01 22:13:22
3431,-,-,100 %,18808.37 Km,10 %,0 Km/h,1.48 Km/L,12734 L,81.6 %,0 VDC,004,0 %,0 °C,1505.64 H,0 BAR,0 °C,551 Rpm,Off,Not,Not,Not,,2023-11-01 22:13:42
3432,-,-,100 %,18808.37 Km,62 %,12.1 Km/h,1.48 Km/L,12734 L,0 %,28.4 VDC,000,0 %,0 °C,1505.64 H,0 BAR,0 °C,910 Rpm,Off,Not,Not,Not,,2023-11-01 22:14:01
3433,-,-,100 %,18808.4 Km,76 %,48.1 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,016,0 %,0 °C,1505.64 H,0 BAR,0 °C,1091 Rpm,Off,Not,Not,Not,,2023-11-01 22:14:21
3434,-,-,100 %,18808.4 Km,85 %,35.4 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,014,0 %,0 °C,1505.64 H,0 BAR,0 °C,1232 Rpm,Off,Not,Not,Not,,2023-11-01 22:14:41
3435,-,-,100 %,18808.91 Km,30 %,28.6 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,013,0 %,0 °C,1505.64 H,0 BAR,0 °C,1187 Rpm,Off,Not,Not,Not,,2023-11-01 22:15:01
3436,-,-,100 %,18809.11 Km,15 %,7.8 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,007,0 %,0 °C,1505.64 H,0 BAR,0 °C,988 Rpm,Off,Not,Not,Not,,2023-11-01 22:15:22
3437,-,-,100 %,18809.11 Km,60 %,7.1 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,0-2,0 %,0 °C,1505.64 H,0 BAR,0 °C,2276 Rpm,Off,Not,Not,Not,,2023-11-01 22:15:42
